代號,漲跌價_x,漲跌幅_x,統計年數_x,股價目前落點,歷年股價平均,歷年股價高點平均,歷年股價低點平均,股價高低價差(倍),平均EPS,平均PER,目前PER,平均最低PER,平均最高PER,PER目前落點,平均BPS,目前PBR,平均PBR,平均最低PBR,平均最高PBR,PBR目前落點,漲跌價_y,漲跌幅_y,統計年數_y,平均營收(億),營收成長(%),平均毛利(億),毛利成長(%),平均毛利(%),平均營益(億),營益成長(%),平均營益(%),平均淨利(億),淨利成長(%),平均淨利(%),平均ROA(%),平均ROA增減,平均ROE(%),平均ROE增減,平均EPS(元),平均EPS增減,平均財報評分,名稱,成交,計算EPS,最低合理股價,平均合理股價,最高合理股價
1445,-0.3,-1.72,10,近高,13.85,17.37,11.2,1.55,1.32,10.5,2.28,8.48,13.1,破低,14.23,0.95,0.97,0.79,1.22,低,-0.3,-1.72,30,15.1,-2.41,1.23,1.45,8.15,-0.11,-62.2,-0.72,0.77,242.0,5.1,3.04,2.46,3.66,2.99,0.58,0.42,45,大宇,17.1,0.6588,5.59,6.92,8.63
2603,-3.5,-1.59,10,過高,73.75,120.4,43.69,2.76,20.07,3.68,4.14,2.18,6.0,高,68.08,0.86,1.08,0.64,1.77,低,-3.5,-1.59,30,"2,024",14.3,561,45.3,27.7,481,52.1,23.8,402,52.3,21.4,8.88,3.02,18.5,5.98,9.21,2.96,49,長榮,216.0,46.46511627906976,101.29,170.99,278.79
1446,-0.6,-1.35,10,過高,32.52,40.86,25.46,1.6,0.05,596.0,4.36,467.0,749.0,破低,11.4,2.26,2.85,2.23,3.59,近低,-0.6,-1.35,30,16.3,-11.3,2.42,-7.0,14.8,-0.03,58.7,-0.17,-0.8,-1.64,-4.87,-1.33,0.11,-2.15,0.38,-0.26,0.02,35,宏和,43.8,-0.41668141592920355,-194.59,-248.34,-312.09
2506,0.0,0.0,10,近高,10.49,12.52,9.47,1.32,0.37,28.5,4.94,25.7,34.0,破低,18.83,0.53,0.56,0.5,0.66,近低,0.0,0.0,30,49.7,-7.86,11.8,-8.71,23.8,0.33,-72.2,0.67,-2.87,-516.0,-4.72,-0.56,-0.81,-25.5,-13.5,-0.09,-0.18,37,太設,11.7,-5.629245283018868,-144.67,-160.43,-191.39
2609,-1.2,-1.62,10,近高,53.04,90.2,29.44,3.06,17.47,3.04,5.06,1.69,5.16,近高,49.29,0.79,1.08,0.6,1.83,低,-1.2,-1.62,29,"1,704",-0.18,451,-4.43,26.5,388,-5.69,22.8,275,-3.07,16.2,8.39,-0.52,12.7,-1.43,7.82,-0.33,48,陽明,72.9,11.719367088607594,19.81,35.63,60.47
2514,0.3,1.45,10,過高,17.01,20.64,14.57,1.42,1.73,9.86,5.43,8.44,12.0,破低,24.67,0.63,0.69,0.59,0.84,近低,0.3,1.45,30,282,-5.16,12.6,2.71,4.47,-0.16,82.0,-0.06,4.36,5.75,2.39,2.0,0.09,6.22,0.03,1.0,0.07,46,龍邦,20.95,2.068396825396825,17.46,20.39,24.82
2520,-1.4,-2.48,10,過高,33.62,42.96,25.66,1.67,4.02,8.36,5.48,6.38,10.7,破低,30.35,1.27,1.11,0.85,1.42,近高,-1.4,-2.48,30,128,5.51,34.1,7.6,26.7,20.7,9.16,16.2,13.3,7.4,12.3,3.39,0.23,10.1,0.46,2.59,0.16,45,冠德,55.1,4.381968503937007,27.96,36.63,46.89
1457,0.05,0.25,10,過高,16.46,19.86,14.23,1.4,2.26,7.29,6.41,6.3,8.79,近低,20.37,0.88,0.81,0.7,0.97,近高,0.05,0.25,30,44.2,-2.44,3.43,-2.4,7.75,4.8,24.3,10.9,2.14,13.6,7.81,2.67,0.3,5.79,0.66,1.0,0.1,39,宜進,20.45,1.3455170454545455,8.48,9.81,11.83
2316,-0.8,-1.63,10,過高,30.55,42.03,22.62,1.86,3.06,9.97,6.8,7.38,13.7,破低,38.76,0.91,0.79,0.58,1.08,近高,-0.8,-1.63,30,73.5,-2.7,6.32,-9.43,8.6,0.78,-39.7,1.06,4.58,6.37,6.01,3.65,0.09,6.13,0.08,1.71,0.15,40,楠梓電,48.3,3.2536153846153844,24.01,32.44,44.57
2020,0.0,0.0,10,過高,23.56,30.38,18.62,1.63,2.27,10.4,6.98,8.19,13.4,破低,14.95,1.84,1.58,1.25,2.03,近高,0.0,0.0,30,63.5,-0.56,6.35,1.93,9.99,2.76,7.72,4.34,2.92,22.9,4.58,4.48,0.83,9.24,1.68,1.39,0.23,36,美亞,31.0,1.5567391304347824,12.75,16.19,20.86
1436,-5.5,-3.75,10,過高,68.0,93.28,51.25,1.82,8.61,7.9,7.07,5.95,10.8,近低,36.17,2.95,1.88,1.42,2.58,過高,-5.5,-3.75,31,18.9,51.0,7.63,67.9,40.4,5.38,89.9,28.5,3.04,88.8,16.1,5.59,2.65,13.6,4.97,2.36,0.9,51,華友聯,141.0,6.500338983050847,38.68,51.35,70.2
2545,-1.1,-1.48,10,過高,41.36,52.76,32.6,1.62,3.86,10.7,7.28,8.44,13.7,破低,34.63,1.81,1.19,0.94,1.52,過高,-1.1,-1.48,26,56,-0.49,23.3,-0.26,41.6,16.4,-0.96,29.3,13.7,-2.56,24.5,3.85,-0.27,14.8,-0.98,4.38,-0.17,48,皇翔,73.1,5.977237569060773,50.45,63.96,81.89
1532,0.0,0.0,10,近低,33.74,42.4,27.54,1.54,2.43,13.9,7.34,11.3,17.4,破低,32.95,0.86,1.02,0.84,1.29,近低,0.0,0.0,28,154,2.06,35.5,2.76,23.1,15.9,1.55,10.3,9.9,-0.66,9.77,4.11,-0.25,9.7,-0.43,2.81,-0.08,41,勤美,32.3,3.64313953488372,41.17,50.64,63.39
2816,-0.5,-1.46,10,過高,22.1,28.37,18.07,1.57,1.84,12.0,7.56,9.8,15.4,破低,24.18,1.09,0.91,0.75,1.17,近高,-0.5,-1.46,30,80.7,7.06,23.7,10.4,29.4,4.21,57.5,5.22,0.36,-60.0,0.45,2.41,0.63,8.79,1.95,0.74,0.3,54,旺旺保,33.7,2.717642201834862,26.63,32.61,41.85
2615,-1.5,-1.75,10,高,69.21,124.2,36.28,3.42,12.89,5.37,7.66,2.82,9.64,高,46.59,0.98,1.49,0.78,2.67,低,-1.5,-1.75,29,941,0.97,260,-10.3,27.7,217,-12.4,23.1,171,-12.6,18.2,9.93,-1.54,19.9,-3.01,6.82,-1.02,55,萬海,84.0,17.057142857142857,48.1,91.6,164.43
2611,-0.05,-0.22,10,過高,14.84,23.08,10.17,2.27,0.41,36.2,7.86,24.8,56.3,破低,14.81,1.45,1.0,0.69,1.56,近高,-0.05,-0.22,30,12.7,-5.8,3.1,-5.68,24.4,0.32,-26.3,2.5,0.82,41.8,5.09,1.51,0.85,2.24,1.05,0.47,0.12,44,志信,23.2,0.35840000000000005,8.89,12.97,20.18
2739,-0.2,-0.38,9,過高,36.74,51.22,28.56,1.79,-0.63,-58.5,8.03,-45.5,-81.6,,12.48,3.14,2.94,2.29,4.1,低,-0.2,-0.38,11,38.1,2.16,12.5,2.26,32.8,-0.07,88.4,-0.19,-0.54,36.1,-1.41,1.2,-0.46,-6.33,4.37,-0.44,0.4,42,寒舍,51.8,-1.0442484076433118,47.51,61.09,85.21
