排名,代號,名稱_x,成交_x,漲跌價_x,漲跌幅_x,統計年數_x,股價目前落點,歷年股價平均,歷年股價高點平均,歷年股價低點平均,股價高低價差(倍),平均EPS,平均PER,目前PER,平均最低PER,平均最高PER,PER目前落點,平均BPS,目前PBR,平均PBR,平均最低PBR,平均最高PBR,PBR目前落點,名稱_y,成交_y,漲跌價_y,漲跌幅_y,統計年數_y,平均營收(億),營收成長(%),平均毛利(億),毛利成長(%),平均毛利(%),平均營益(億),營益成長(%),平均營益(%),平均淨利(億),淨利成長(%),平均淨利(%),平均ROA(%),平均ROA增減,平均ROE(%),平均ROE增減,平均EPS(元),平均EPS增減,平均財報評分
942.0,"=""1101""",台泥,35.1,-0.15,-0.43,10.0,近低,38.72,44.64,32.51,1.37,2.44,15.9,28.8,13.3,18.3,過高,31.63,1.1,1.22,1.03,1.41,近低,台泥,35.1,-0.15,-0.43,30.0,"1,010",1.92,209,0.35,20.7,152,-3.56,15.1,115,-3.38,13.3,4.34,-0.27,8.21,-0.51,2.36,-0.16,50.0
243.0,"=""1102""",亞泥,41.8,-0.3,-0.71,10.0,近高,41.22,47.0,35.44,1.33,3.71,11.1,13.4,9.56,12.7,過高,43.64,0.83,0.94,0.81,1.08,近低,亞泥,41.8,-0.3,-0.71,30.0,658,3.51,118,0.79,17.9,91.7,0.29,13.9,93.2,2.51,16.4,4.79,-0.16,8.5,-0.29,3.04,0.03,47.0
780.0,"=""1103""",嘉泥,16.35,-0.9,-5.22,10.0,近低,17.32,21.12,14.56,1.45,0.84,20.7,23.0,17.4,25.2,近高,32.96,0.5,0.53,0.44,0.64,近低,嘉泥,16.35,-0.9,-5.22,31.0,40.7,-3.66,5.44,-5.46,13.4,1.07,-24.2,2.63,5.09,-2.16,14.1,1.72,-0.07,2.97,-0.15,0.84,-0.02,44.0
234.0,"=""1104""",環泥,30.3,0.3,1.0,10.0,過高,24.08,28.4,20.78,1.37,2.33,10.3,13.3,8.92,12.2,過高,29.23,0.89,0.82,0.71,0.97,近高,環泥,30.3,0.3,1.0,30.0,56.7,3.13,7.46,10.0,13.1,2.83,28.7,4.99,11.2,8.83,20.2,5.5,0.3,7.17,0.33,1.78,0.12,48.0
303.0,"=""1108""",幸福,15.05,-0.05,-0.33,10.0,過高,11.82,14.69,9.73,1.51,0.75,15.9,14.3,13.1,19.7,近低,11.58,1.21,1.02,0.84,1.27,近高,幸福,15.05,-0.05,-0.33,30.0,42.9,1.24,5.34,4.39,12.4,2.55,10.3,5.95,1.78,16.6,4.05,1.99,0.26,3.68,0.5,0.44,0.06,33.0
85.0,"=""1109""",信大,17.95,0.1,0.56,10.0,近高,17.57,20.99,14.45,1.45,1.93,9.1,10.4,7.48,10.9,近高,20.6,0.75,0.85,0.7,1.02,近低,信大,17.95,0.1,0.56,30.0,44.2,4.14,10.4,2.97,23.4,6.8,4.15,15.4,4.04,4.46,11.7,5.4,0.08,6.71,0.08,1.1,0.06,56.0
1100.0,"=""1110""",東泥,20.05,-0.3,-1.47,10.0,近高,17.84,21.01,15.52,1.35,0.18,98.7,40.9,85.9,116.0,破低,15.14,1.22,1.18,1.02,1.39,近高,東泥,20.05,-0.3,-1.47,30.0,17.8,2.92,1.3,2.13,7.31,0.31,-8.65,1.75,1.13,-1.75,6.48,1.0,0.01,1.17,0.04,0.21,-0.01,42.0
750.0,"=""1201""",味全,18.1,0.0,0.0,10.0,近低,20.77,24.16,18.08,1.34,0.79,26.4,22.1,23.0,30.7,破低,13.26,1.2,1.57,1.36,1.82,破低,味全,18.1,0.0,0.0,30.0,203,0.91,62,0.05,30.5,3.85,-0.65,1.9,2.76,4.04,1.12,1.34,0.07,3.27,0.23,0.55,0.02,41.0
589.0,"=""1203""",味王,37.8,-0.05,-0.13,10.0,近高,35.33,42.12,30.09,1.4,1.93,18.3,18.6,15.6,21.8,近低,21.68,1.5,1.63,1.39,1.94,近低,味王,37.8,-0.05,-0.13,30.0,57.7,1.38,15.3,2.5,26.5,6,5.15,10.4,2.91,5.55,7.63,4.87,0.22,7.58,0.32,1.24,0.06,49.0
262.0,"=""1210""",大成,55.6,-0.4,-0.71,10.0,過高,47.09,55.26,39.93,1.38,3.21,14.7,13.7,12.5,17.2,近低,24.72,1.91,1.9,1.61,2.24,近低,大成,55.6,-0.4,-0.71,30.0,790,4.65,91.3,7.65,11.6,25,18.0,3.16,18.4,14.5,2.88,5.18,0.23,10.3,0.52,2.63,0.21,43.0
