"代號","名稱","成交","漲跌價","漲跌幅","統計年數","平均營收(億)","營收成長(%)","平均毛利(億)","毛利成長(%)","平均毛利(%)","平均營益(億)","營益成長(%)","平均營益(%)","平均淨利(億)","淨利成長(%)","平均淨利(%)","平均ROA(%)","平均ROA增減","平均ROE(%)","平均ROE增減","平均EPS(元)","平均EPS增減","平均財報評分"
="1101","台泥","35.1","-0.15","-0.43","30","1,010","+1.92","209","+0.35","20.7","152","-3.56","15.1","115","-3.38","13.3","4.34","-0.27","8.21","-0.51","2.36","-0.16","50"
="1102","亞泥","41.8","-0.3","-0.71","30","658","+3.51","118","+0.79","17.9","91.7","+0.29","13.9","93.2","+2.51","16.4","4.79","-0.16","8.5","-0.29","3.04","+0.03","47"
="1103","嘉泥","16.35","-0.9","-5.22","31","40.7","-3.66","5.44","-5.46","13.4","1.07","-24.2","2.63","5.09","-2.16","14.1","1.72","-0.07","2.97","-0.15","0.84","-0.02","44"
="1104","環泥","30.3","+0.3","+1","30","56.7","+3.13","7.46","+10","13.1","2.83","+28.7","4.99","11.2","+8.83","20.2","5.5","+0.3","7.17","+0.33","1.78","+0.12","48"
="1108","幸福","15.05","-0.05","-0.33","30","42.9","+1.24","5.34","+4.39","12.4","2.55","+10.3","5.95","1.78","+16.6","4.05","1.99","+0.26","3.68","+0.5","0.44","+0.06","33"
="1109","信大","17.95","+0.1","+0.56","30","44.2","+4.14","10.4","+2.97","23.4","6.8","+4.15","15.4","4.04","+4.46","11.7","5.4","+0.08","6.71","+0.08","1.1","+0.06","56"
="1110","東泥","20.05","-0.3","-1.47","30","17.8","+2.92","1.3","+2.13","7.31","0.31","-8.65","1.75","1.13","-1.75","6.48","1","+0.01","1.17","+0.04","0.21","-0.01","42"
="1201","味全","18.1","0","0","30","203","+0.91","62","+0.05","30.5","3.85","-0.65","1.9","2.76","+4.04","1.12","1.34","+0.07","3.27","+0.23","0.55","+0.02","41"
="1203","味王","37.8","-0.05","-0.13","30","57.7","+1.38","15.3","+2.5","26.5","6","+5.15","10.4","2.91","+5.55","7.63","4.87","+0.22","7.58","+0.32","1.24","+0.06","49"
="1210","大成","55.6","-0.4","-0.71","30","790","+4.65","91.3","+7.65","11.6","25","+18","3.16","18.4","+14.5","2.88","5.18","+0.23","10.3","+0.52","2.63","+0.21","43"
="1213","大飲","15.15","+0.1","+0.66","30","5.32","-7.97","0.39","-29.3","7.32","-0.3","-80.9","-5.65","-0.26","-56.7","-4.93","-3.53","-1.44","-9.94","-4.57","-0.44","-0.17","30"
="1215","卜蜂","102.5","+2.8","+2.81","31","196","+4.11","25.7","+7.93","13.1","12","+9.62","6.12","9.8","+10.4","5.13","6.36","+0.12","13.5","+0.54","3.58","+0.29","40"
="1216","統一","81.5","-1.3","-1.57","30","3,943","+5.54","1,264","+5.88","32","207","+5.33","5.26","151","+3.88","5.85","5.79","-0.05","15.1","+0.13","2.84","+0.07","51"
="1217","愛之味","12.2","+0.1","+0.83","30","44.2","+0.97","14.3","-0.42","32.5","0.56","+10.2","1.28","0.71","+16.7","1.75","0.72","+0.12","1.31","+0.23","0.16","+0.02","41"
="1218","泰山","20.1","+0.05","+0.25","30","93.4","+2.54","15","-0.15","16.1","-0.34","-4.82","-0.36","6.79","-5.49","7.24","6.93","-0.49","10","-0.76","1.43","-0.09","43"
="1219","福壽","14.85","-0.25","-1.66","30","124","+5.09","10.2","+7.22","8.25","1.42","+23.1","1.15","1.85","+6.7","1.28","2.33","+0.1","4.6","+0.35","0.6","+0.03","38"
="1220","台榮","17","-0.05","-0.29","30","31.4","+0.6","3.44","+4.85","11","1.15","+9.63","3.65","0.73","+7.97","2.5","3.58","+0.28","4.67","+0.35","0.41","+0.03","45"
="1225","福懋油","45.65","-1.95","-4.1","30","118","+2.92","8.57","+4.36","7.28","3.53","+5.91","3","2.16","+8.81","2.04","3.69","+0.2","7.77","+0.49","1","+0.07","36"
="1227","佳格","35.35","-0.2","-0.56","30","251","+2.76","70.7","-0.1","28.2","25.2","-3.38","10","20.9","-3.08","8.46","10.7","-0.78","16.1","-1.15","2.75","-0.17","53"
="1229","聯華","52","-0.9","-1.7","30","81.6","+11.3","15.2","+10.8","18.7","7.52","+9.72","9.22","24.5","+8.99","33.1","6.9","-0.08","8.6","-0.05","2.15","+0.06","56"
="1231","聯華食","141","-10.5","-6.93","30","72.8","+6.4","16.5","+4.74","22.7","5.67","+8.01","7.79","4.93","+12.1","6.77","6.78","+0.2","14","+0.49","2.73","+0.13","42"
="1232","大統益","152","-1.5","-0.98","31","189","+2.71","18.6","+6.28","9.85","11.4","+5.88","6.05","8.2","+6.12","4.44","16.5","+0.12","23.5","+0.26","5.14","+0.29","54"
="1233","天仁","30.2","+0.15","+0.5","28","20.2","+0.86","11.7","+0.79","57.8","1.45","-4.39","7.2","1.45","-1.82","7.23","7.1","-0.45","9.87","-0.53","1.62","-0.03","56"
="1234","黑松","41.3","0","0","27","71.8","+4.78","20.8","+3.33","28.9","2.45","+15.7","3.42","9.13","+13.3","12.7","4.55","+0.47","5.81","+0.55","1.97","+0.23","49"
="1235","興泰","89","-0.3","-0.34","28","1.22","-10.7","0.26","-4.66","21.7","-0.02","-41.2","-1.31","0.89","-3.52","73.8","2.44","-0.14","3.97","+0.05","1.15","-0.08","51"
="1236","宏亞","23.05","-0.1","-0.43","28","20.3","-0.06","5.7","-1.33","28","0.45","-23","2.21","0.93","-3.56","4.55","3.06","-0.3","5.16","-0.56","0.94","-0.05","44"
="1256","鮮活果汁-KY","157","-4","-2.48","14","35.4","+8.9","11.8","+5.46","33.4","6.3","+1.95","17.8","4.57","+2.5","13.4","15.6","-1.12","22.8","-2.51","14.22","+0.06","70"
="1301","台塑","38.8","-0.85","-2.14","30","1,972","+1.45","285","-3.17","14.4","174","-6.83","8.81","321","-3.96","16.3","8.16","-0.51","12.2","-0.81","5.24","-0.24","50"
="1303","南亞","33.75","-0.35","-1.03","30","2,950","+0.25","421","-2.74","14.3","244","-5.06","8.27","334","-4.29","11.7","6.9","-0.4","11.4","-0.73","4.32","-0.22","48"
="1304","台聚","11.95","-0.4","-3.24","30","524","+1.28","71.2","-0.54","13.6","35.1","-3.14","6.71","14.2","-8.42","4.49","3.86","-0.59","6.98","-1.02","1.45","-0.15","44"
="1305","華夏","13.15","-0.2","-1.5","30","140","+0.56","19.7","-0.42","14.1","7.99","-2.52","5.71","6.25","-2.46","4.84","5.09","-0.18","7.94","-0.27","1.2","-0.04","44"
="1307","三芳","51.2","-2.3","-4.3","30","96.3","+1.19","22.3","+2.1","23.1","7.83","+2.87","8.13","6.08","+2.34","6.32","5.17","-0.11","9.11","-0.19","1.71","+0.01","51"
="1308","亞聚","14.75","-0.3","-1.99","30","66","+0.97","13.4","-0.18","20.2","11.1","-0.17","16.8","8.91","-7.17","13.5","6.84","-0.82","8.72","-1.01","1.86","-0.19","55"
="1309","台達化","14.3","-0.05","-0.35","30","176","-0.48","12.4","-6.12","7.06","4.15","-19.1","2.36","3.18","-15.8","1.8","4.03","-0.79","6.54","-1.2","0.9","-0.17","39"
="1310","台苯","10.4","-0.1","-0.95","30","149","-2.31","7.58","-11.5","5.08","3.23","-19.7","2.17","2.79","-18.9","1.76","2.39","-0.63","3.68","-0.94","0.57","-0.14","40"
="1312","國喬","10.65","-0.3","-2.74","30","213","-1.7","24.4","-4.46","11.5","11.4","-10.9","5.34","15.2","-10.6","7.74","6.01","-0.49","7.66","-0.67","1.68","-0.2","47"
="1313","聯成","8.94","-0.17","-1.87","30","503","+6.11","24.3","-0.1","4.84","5.91","-12.3","1.18","7.8","-11.7","1.55","2.31","-0.32","4.48","-0.6","0.75","-0.11","39"
="1314","中石化","8.36","+0.02","+0.24","29","299","-2.73","14.5","-26.3","4.86","-4.63","-729","-1.55","17.6","-16.5","5.83","2.64","-0.65","3.83","-1.03","0.76","-0.13","36"
="1315","達新","69.5","-0.3","-0.43","30","33.1","-2.39","6.15","-3.27","18.6","0.97","-6.33","2.92","5.05","+15.1","15.2","5.35","+0.46","6.77","+0.43","2.88","+0.45","49"
="1316","上曜","15.4","-0.45","-2.84","30","11.5","-6.52","2.28","-10.5","19.8","-0.33","-905","-2.87","-0.36","-258","-2.01","-0.97","-0.35","-1.83","-0.78","-0.23","-0.12","34"
="1319","東陽","116.5","+3.5","+3.1","30","202","+2.76","48.1","+5.67","23.8","17.2","+13.4","8.49","14.8","+10.4","7.44","4.95","+0.36","8.53","+0.29","2.66","+0.21","47"
="1321","大洋","36.2","+0.25","+0.7","27","53.1","-0.84","3.46","+1.84","6.52","-0.5","+12.1","-0.95","0.62","+15.3","1.16","0.42","+0.1","0.92","+0.23","0.29","+0.03","32"
="1323","永裕","25.1","+0.05","+0.2","28","30.6","+2.13","7.2","+0.61","23.5","3.36","-1.11","11","1.96","-2.58","8.2","6.49","-0.21","13.2","-0.45","2.22","-0.07","47"
="1324","地球","12.75","-0.1","-0.78","28","12","-2.19","2.07","-0.24","17.3","0.3","+3.04","2.48","0.36","-2.98","3","2.4","+0.04","3.18","+0.02","0.51","-0.03","50"
="1325","恆大","32.05","-0.35","-1.08","27","11","-3.11","3.04","-5.18","27.7","2.32","-6.11","21.1","1.98","-4.68","18.1","7.39","-0.49","8.48","-0.59","2.27","-0.12","61"
="1326","台化","29.7","-0.35","-1.16","30","3,473","+0.25","329","-6.09","9.46","182","-11.2","5.25","273","-3.69","8.62","5.83","-0.61","8.59","-0.96","4.83","-0.21","46"
="1337","再生-KY","6.77","+0.05","+0.74","14","23.8","-15.6","2.07","-42.5","8.67","-2.74","-76.6","-11.5","-3.5","-34.7","-14.7","-5.86","-1.68","-5.96","-1.96","-1.12","-0.48","49"
="1338","廣華-KY","30","+0.4","+1.35","15","70.9","-0.68","16.6","-1.54","23.5","4.9","-11.3","6.92","3.79","-16.8","5.17","4.22","-0.93","6.3","-1.43","4.65","-0.97","51"
="1339","昭輝","57.7","-0.8","-1.37","14","22.2","+0.3","6.45","+2.31","29.1","3.41","+3.52","15.4","2.93","+9.76","13","5.64","+0.29","8.93","+0.13","4.01","+0.33","56"
="1340","勝悅-KY","9.23","-0.07","-0.75","14","14.1","-14.6","1.25","-48.5","8.84","-0.39","-145","-2.74","-1.43","-442","-10.1","-3.14","-4.36","-2.96","-4.9","-0.33","-1.5","50"
="1341","富林-KY","71","-1","-1.39","9","28.1","-3.04","5.96","-4.21","21.2","3.51","-7.09","12.5","2.76","-5.73","9.96","13.5","-1.74","25.1","-3.3","5.86","-0.64","48"
="1342","八貫","109","-1","-0.91","7","22.8","+7.63","6.64","+10.3","29.1","4.66","+10.5","20.4","4.13","+13.5","18.1","14.9","+0.04","22.2","-0.23","5.81","+0.42","64"
="1402","遠東新","32.2","-0.05","-0.16","30","2,089","+3.26","438","+1.69","21","140","+1.27","6.68","86.2","+0.68","6.9","3.51","-0.11","7.28","-0.2","1.8","0","44"
="1409","新纖","15.2","-0.1","-0.65","30","353","+1.9","48.1","+2.03","13.6","17.6","-0.57","4.98","13.5","-1.06","4.84","1.31","-0.04","4.93","-0.09","0.85","-0.02","39"
="1410","南染","35.9","+0.6","+1.7","30","5.23","-3.18","1.51","-1.69","28.8","0.69","-2.41","13.2","0.52","+0.06","10.7","4.15","0","4.99","+0.02","0.7","+0.01","60"
="1413","宏洲","12.05","+0.2","+1.69","30","31.7","-3.76","0.38","-21.6","1.19","-0.57","-13","-1.79","-1.03","-10.2","-3.21","-1.18","-0.37","-3.32","-0.77","-0.43","-0.06","29"
="1414","東和","22.85","-0.1","-0.44","30","8.22","-7.97","0.89","-9.24","10.8","0.1","-48.6","1.21","0.2","+41.4","2.41","1.45","-0.13","2.08","-0.18","0.17","+0.02","40"
="1416","廣豐","12.85","-0.05","-0.39","30","15.2","-8.06","2.6","-0.4","17.1","-0.22","+26.4","-1.43","0.19","+765","1.53","0.56","+0.27","0.63","+0.41","0.25","+0.05","38"
="1417","嘉裕","9.38","-0.03","-0.32","30","21.8","-2.2","5.67","-1.97","26","-1.98","-3.28","-9.06","-0.58","-19.8","-2.85","-1.28","-0.22","-1.71","-0.3","-0.17","-0.03","45"
="1418","東華","26.85","+0.4","+1.51","30","16.7","-4.7","-0.09","+22.6","-0.55","-1.52","+3.87","-9.12","-1.63","-5.65","-9.77","-5.64","+0.66","-19.2","+0.65","-1.22","-0.02","28"
="1419","新紡","43.4","0","0","30","15.2","+11","4.03","+14","26.5","0.59","+66.5","3.88","3.88","+7.9","25.4","2.93","+0.1","4.45","+0.11","1.3","+0.09","47"
="1423","利華","36.7","-0.1","-0.27","30","4.27","-14.8","-0.12","-37.6","-2.82","-0.49","-4.99","-11.6","0.32","+9.77","7.58","2.55","+0.24","2.8","+0.27","0.24","+0.02","50"
="1432","大魯閣","19.15","-0.95","-4.73","30","13.8","-2.47","4.72","+9.69","34.3","-0.77","+4.56","-5.6","-1.01","-53.3","-8.87","-2.04","-1.34","-5.94","-2.86","-0.48","-0.28","39"
="1434","福懋","19.3","+0.15","+0.78","30","380","-1.2","43.6","-2.8","11.5","18.6","-6.34","4.9","28.9","-4.71","8.21","4.11","-0.3","5.86","-0.48","1.74","-0.09","44"
="1435","中福","34.8","0","0","30","0.85","-14.7","0.2","-2.02","23.1","-0.21","-8.1","-24.2","-0.28","-7.4","-34.7","-1.81","-0.01","-2.76","+0.08","-0.23","-0.01","46"
="1436","華友聯","141","-5.5","-3.75","31","18.9","+51","7.63","+67.9","40.4","5.38","+89.9","28.5","3.04","+88.8","16.1","5.59","+2.65","13.6","+4.97","2.36","+0.9","51"
="1437","勤益控","34.95","0","0","30","11.8","-2.39","2.96","+8.54","25.1","1.8","+16.7","15.3","2.08","+19.4","17.6","1.84","+0.35","3.23","+0.61","1.03","+0.17","49"
="1438","三地開發","53.6","-1.1","-2.01","30","0.89","+21.3","0.4","+5.93","45.1","0.28","+3.15","31.2","0.12","-11.6","13.9","0.26","-0.02","0.41","-0.16","0.21","-0.03","45"
="1439","雋揚","33.25","-0.15","-0.45","30","3.43","-9.09","0.45","+10","13","-0.11","+4.34","-3.23","1.32","+4.13","40.3","4.36","+0.14","5.3","+0.51","1.44","+0.06","46"
="1440","南紡","14.95","+0.2","+1.36","30","196","+0.61","20.1","-4.65","10.3","3.84","-25.1","1.96","10.1","+8.99","5.11","2.48","+0.12","3.99","+0.25","0.63","+0.05","42"
="1441","大東","14.1","-0.1","-0.7","30","15.7","-2.07","0.05","-82","0.34","-1.78","-16.3","-11.3","-1.21","-41.7","-8.6","-4.97","-2.2","-16.8","-8.09","-1.02","-0.46","27"
="1442","名軒","85.5","-0.1","-0.12","30","24.8","+17.3","7.87","+33.3","31.7","5.71","+44","23","4.89","+36.2","19.7","4.31","+0.82","10.6","+2.13","1.73","+0.3","47"
="1443","立益物流","31.4","+0.8","+2.61","30","21.8","-1.45","1.1","+22.8","5.04","-0.6","+28.2","-2.74","-1.09","+11.6","-6.93","-2.71","+0.25","-11.9","+1.2","-0.48","+0.09","31"
="1444","力麗","8.67","+0.02","+0.23","30","112","-4.45","8.1","-12","7.24","1.18","-43.7","1.06","2.37","-17","2.06","1.55","-0.42","2.27","-0.63","0.27","-0.06","38"
="1445","大宇","17.1","-0.3","-1.72","30","15.1","-2.41","1.23","+1.45","8.15","-0.11","-62.2","-0.72","0.77","+242","5.1","3.04","+2.46","3.66","+2.99","0.58","+0.42","45"
="1446","宏和","43.8","-0.6","-1.35","30","16.3","-11.3","2.42","-7","14.8","-0.03","+58.7","-0.17","-0.8","-1.64","-4.87","-1.33","+0.11","-2.15","+0.38","-0.26","+0.02","35"
="1447","力鵬","7.25","-0.03","-0.41","30","211","+4.85","6.03","-7.87","2.86","-1.01","-236","-0.48","0.24","-67.9","0.18","0.09","-0.35","0.07","-0.64","0.06","-0.07","33"
="1449","佳和","19","0","0","30","48.4","-2.62","2.54","-5.78","5.25","-2.64","-2.11","-5.46","-2.73","-12.6","-6.62","-3.58","+0.14","-15.9","+0.94","-0.98","-0.05","23"
="1451","年興","20.05","+0.05","+0.25","30","116","-0.82","12.2","-5.62","10.5","4.94","-11.1","4.24","8.53","-6.08","7.29","5.61","-0.69","7.59","-0.95","1.68","-0.17","46"
="1452","宏益","15","+0.05","+0.33","31","15.3","-1.6","1.72","-4.62","11.2","0.82","-9.18","5.34","1.29","-3.04","8.41","4.38","-0.03","4.85","-0.04","0.97","-0.03","55"
="1453","大將","17.25","-0.35","-1.99","30","2.46","-9.44","0.34","+4.17","13.8","-0.1","+15.6","-4.16","-0.03","-201","-1.43","2.26","-0.02","2.04","+0.3","0.05","-0.06","40"
="1454","台富","15.65","+0.1","+0.64","30","18.9","-2.86","1.58","-1.48","8.37","0.1","-24.7","0.55","0.27","-4.36","1.42","1.33","0","1.75","0","0.21","-0.01","42"
="1455","集盛","10.4","0","0","30","114","-5.73","3.64","-12","3.19","-0.42","-53357","-0.37","1.28","-20.7","1.12","0.67","-0.28","1.06","-0.4","0.26","-0.07","34"
="1456","怡華","17.05","-0.05","-0.29","30","14.5","-4.59","1.44","+15.6","9.94","0.42","+108","2.89","-1.9","-19","-13.1","-4.14","-1.16","-35.5","-9.26","-0.66","-0.15","27"
="1457","宜進","20.45","+0.05","+0.25","30","44.2","-2.44","3.43","-2.4","7.75","4.8","+24.3","10.9","2.14","+13.6","7.81","2.67","+0.3","5.79","+0.66","1","+0.1","39"
="1459","聯發","13.7","-0.1","-0.72","30","30.3","-5.48","0.74","-25.9","2.45","-0.78","-41.2","-2.59","0.34","-14.6","1.4","0.31","-0.05","0.51","-0.08","0.11","-0.03","38"
