"排名","代號","名稱","成交","漲跌價","漲跌幅","統計年數","股價目前落點","歷年股價平均","歷年股價高點平均","歷年股價低點平均","股價高低價差(倍)","平均EPS","平均PER","目前PER","平均最低PER","平均最高PER","PER目前落點","平均BPS","目前PBR","平均PBR","平均最低PBR","平均最高PBR","PBR目前落點"
"601",="2753","八方雲集","162","+2","+1.25","4","近低","164.4","213.5","142.3","1.5","8.99","18.3","18.9","15.8","23.7","近低","43.85","3.19","3.75","3.25","4.87","破低"
"602",="2392","正崴","70","-0.3","-0.43","10","過高","43.33","57.82","32.78","1.76","2.88","15","18.9","11.4","20.1","近高","48.48","1.25","0.89","0.68","1.19","過高"
"603",="9926","新海","51.7","+0.2","+0.39","10","近高","47.87","51.98","44.94","1.16","2.27","21.1","18.9","19.8","22.9","破低","18.65","2.29","2.57","2.41","2.79","破低"
"604",="2477","美隆電","28.8","-1.15","-3.84","10","近高","23.82","34.44","17.95","1.92","2.08","11.5","18.9","8.64","16.6","過高","19.19","1.08","1.24","0.94","1.8","近低"
"605",="6527","明達醫","86.6","-0.7","-0.8","6","近高","70.07","92.35","56.11","1.65","3.84","18.3","18.9","14.6","24.1","低","30.57","2.42","2.29","1.84","3.02","低"
"606",="2070","精湛","67.7","0","0","7","過高","38.78","60.89","27.91","2.18","1.9","20.4","19","14.7","32.1","低","24.58","2.67","1.58","1.14","2.48","過高"
"607",="2230","泰茂","115","-4","-3.36","10","過高","60.94","87.11","35.58","2.45","1.02","59.8","19","34.9","85.4","破低","13.4","5.18","4.55","2.65","6.5","高"
"608",="8091","翔名","129.5","+2","+1.57","10","過高","87.15","114.3","65.61","1.74","5.99","14.5","19","10.9","19.1","近高","56.36","1.84","1.55","1.16","2.03","近高"
"609",="1723","中碳","98.8","-0.3","-0.3","10","破低","114.9","133.9","101.5","1.32","5.47","21","19","18.5","24.5","近低","32.32","2.79","3.56","3.14","4.14","破低"
"610",="2430","燦坤","30.05","-0.2","-0.66","10","低","30.51","38.15","23.8","1.6","2.5","12.2","19","9.51","15.2","過高","33.53","0.8","0.91","0.71","1.14","近低"
"611",="2732","六角","98.9","+0.3","+0.3","10","近低","116.8","160.4","86.25","1.86","5.46","21.4","19","15.8","29.4","低","37.7","2.33","3.1","2.29","4.26","近低"
"612",="6414","樺漢","315.5","-7","-2.17","10","近高","272.3","349.5","205.6","1.7","18.15","15","19.1","11.3","19.3","近高","120.6","1.85","2.26","1.7","2.9","近低"
"613",="4114","健喬","32.7","-0.45","-1.36","10","低","33.26","41.5","27.05","1.53","1.58","21.1","19.1","17.1","26.3","近低","16.68","1.94","1.99","1.62","2.49","近低"
"614",="6743","安普新","44.2","-0.55","-1.23","5","近低","64.59","98.32","43.93","2.24","1.06","60.8","19.1","41.4","92.6","破低","19.16","2.21","3.37","2.29","5.13","破低"
"615",="5236","凌陽創新","158","0","0","4","高","134.3","199.5","94.4","2.11","6.64","20.2","19.2","14.2","30","低","35.04","3.55","3.83","2.69","5.69","低"
