"排名","代號","名稱","成交","漲跌價","漲跌幅","統計年數","股價目前落點","歷年股價平均","歷年股價高點平均","歷年股價低點平均","股價高低價差(倍)","平均EPS","平均PER","目前PER","平均最低PER","平均最高PER","PER目前落點","平均BPS","目前PBR","平均PBR","平均最低PBR","平均最高PBR","PBR目前落點"
"1",="4420","光明","57.9","+0.3","+0.52","10","過高","34.43","46.55","28.95","1.61","9.62","3.58","1.22","3.01","4.84","破低","34.87","1.59","0.99","0.83","1.33","過高"
"2",="1445","大宇","17.1","-0.3","-1.72","10","近高","13.85","17.37","11.2","1.55","1.32","10.5","2.28","8.48","13.1","破低","14.23","0.95","0.97","0.79","1.22","低"
"3",="2718","全心投控","81.2","-2.7","-3.22","10","過高","48.08","66.61","31.32","2.13","10.1","4.76","2.32","3.1","6.59","破低","31","1.38","1.55","1.01","2.15","低"
"4",="2603","長榮","216","-3.5","-1.59","10","過高","73.75","120.4","43.69","2.76","20.07","3.68","4.14","2.18","6","高","68.08","0.86","1.08","0.64","1.77","低"
"5",="1446","宏和","43.8","-0.6","-1.35","10","過高","32.52","40.86","25.46","1.6","0.05","596","4.36","467","749","破低","11.4","2.26","2.85","2.23","3.59","近低"
"6",="5356","協益","30.9","-0.05","-0.16","10","低","30.81","38.34","25.07","1.53","2.51","12.3","4.48","9.99","15.3","破低","42.86","0.69","0.72","0.58","0.89","近低"
"7",="5278","尚凡*","35.8","0","0","10","破低","176.4","239.4","100.1","2.39","10.97","16.1","4.74","9.12","21.8","破低","21.96","1.97","8.03","4.56","10.9","破低"
"8",="2506","太設","11.7","0","0","10","近高","10.49","12.52","9.47","1.32","0.37","28.5","4.94","25.7","34","破低","18.83","0.53","0.56","0.5","0.66","近低"
"9",="2609","陽明","72.9","-1.2","-1.62","10","近高","53.04","90.2","29.44","3.06","17.47","3.04","5.06","1.69","5.16","近高","49.29","0.79","1.08","0.6","1.83","低"
"10",="5864","致和證","16","-0.1","-0.62","7","低","15.81","24.44","11.05","2.21","1.51","10.5","5.06","7.33","16.2","破低","16.64","0.86","0.95","0.66","1.47","低"
"11",="4109","加捷生醫","21.2","-0.6","-2.75","10","近高","17.59","23.5","13.32","1.76","0.05","383","5.3","290","512","破低","10.44","1.54","1.68","1.28","2.25","低"
"12",="2514","龍邦","20.95","+0.3","+1.45","10","過高","17.01","20.64","14.57","1.42","1.73","9.86","5.43","8.44","12","破低","24.67","0.63","0.69","0.59","0.84","近低"
"13",="2520","冠德","55.1","-1.4","-2.48","10","過高","33.62","42.96","25.66","1.67","4.02","8.36","5.48","6.38","10.7","破低","30.35","1.27","1.11","0.85","1.42","近高"
"14",="6180","橘子","79.5","+1.5","+1.92","10","近高","66.32","84.4","52.95","1.59","4.87","13.6","6.16","10.9","17.3","破低","27.5","1.98","2.41","1.93","3.07","近低"
"15",="1457","宜進","20.45","+0.05","+0.25","10","過高","16.46","19.86","14.23","1.4","2.26","7.29","6.41","6.3","8.79","近低","20.37","0.88","0.81","0.7","0.97","近高"
"16",="7715","裕山","49.4","-0.2","-0.4","1","低","58.54","72.3","41.05","1.76","3.29","17.8","6.52","12.5","22","破低","23.74","1.95","2.47","1.73","3.05","近低"
"17",="5202","力新","25.35","-0.7","-2.69","10","近高","18.8","25.76","14.16","1.82","0.51","36.5","6.67","27.5","50.1","破低","11.67","1.75","1.61","1.21","2.21","高"
"18",="2316","楠梓電","48.3","-0.8","-1.63","10","過高","30.55","42.03","22.62","1.86","3.06","9.97","6.8","7.38","13.7","破低","38.76","0.91","0.79","0.58","1.08","近高"
"19",="2020","美亞","31","0","0","10","過高","23.56","30.38","18.62","1.63","2.27","10.4","6.98","8.19","13.4","破低","14.95","1.84","1.58","1.25","2.03","近高"
"20",="1436","華友聯","141","-5.5","-3.75","10","過高","68","93.28","51.25","1.82","8.61","7.9","7.07","5.95","10.8","近低","36.17","2.95","1.88","1.42","2.58","過高"
